2025-07-23 19:06:51 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:06:51 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | POST /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:06:51 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmTestCID123456789/pin | 200 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:06:52 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:06:52 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:06:52 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:06:52 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:06:52 | testclient | POST /api/files/search | 500 | 0.003s | testclient
2025-07-23 19:06:52 | testclient | POST /api/files/upload | 200 | 0.014s | testclient
2025-07-23 19:06:52 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:06:52 | testclient | GET /api/files/QmTestbc837c7cd2fce3f159af/info | 200 | 0.001s | testclient
2025-07-23 19:06:52 | testclient | PUT /api/files/QmTestbc837c7cd2fce3f159af/metadata | 404 | 0.000s | testclient
2025-07-23 19:08:57 | testclient | GET /api/files/ | 200 | 0.011s | testclient
2025-07-23 19:09:27 | testclient | GET /api/files/ | 200 | 0.007s | testclient
2025-07-23 19:09:34 | testclient | POST /api/files/upload | 200 | 0.019s | testclient
2025-07-23 19:09:35 | testclient | POST /api/files/upload | 200 | 0.016s | testclient
2025-07-23 19:09:35 | testclient | POST /api/files/upload | 500 | 0.002s | testclient
2025-07-23 19:09:36 | testclient | POST /api/files/upload | 500 | 0.548s | testclient
2025-07-23 19:09:36 | testclient | POST /api/files/upload | 422 | 0.002s | testclient
2025-07-23 19:09:36 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.003s | testclient
2025-07-23 19:09:37 | testclient | GET /api/files/ | 200 | 0.005s | testclient
2025-07-23 19:09:37 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 19:09:38 | testclient | POST /api/files/search | 422 | 0.002s | testclient
2025-07-23 19:09:38 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.002s | testclient
2025-07-23 19:09:38 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 19:09:39 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:09:40 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:09:40 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:09:40 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:09:40 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:09:41 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:09:41 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:09:41 | testclient | POST /api/files/upload | 200 | 0.016s | testclient
2025-07-23 19:09:41 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:09:41 | testclient | GET /api/files/QmTest863c8d7a340df7f72a60/info | 200 | 0.001s | testclient
2025-07-23 19:09:41 | testclient | PUT /api/files/QmTest863c8d7a340df7f72a60/metadata | 404 | 0.000s | testclient
2025-07-23 19:10:52 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.003s | testclient
2025-07-23 19:11:10 | testclient | POST /api/files/upload | 200 | 0.018s | testclient
2025-07-23 19:11:10 | testclient | POST /api/files/upload | 200 | 0.017s | testclient
2025-07-23 19:11:10 | testclient | POST /api/files/upload | 500 | 0.001s | testclient
2025-07-23 19:11:11 | testclient | POST /api/files/upload | 500 | 0.545s | testclient
2025-07-23 19:11:11 | testclient | POST /api/files/upload | 422 | 0.001s | testclient
2025-07-23 19:11:11 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.003s | testclient
2025-07-23 19:11:11 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:11:11 | testclient | GET /api/files/QmTestCID123456789 | 500 | 0.002s | testclient
2025-07-23 19:11:12 | testclient | GET /api/files/ | 200 | 0.007s | testclient
2025-07-23 19:11:12 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 19:11:13 | testclient | POST /api/files/search | 422 | 0.002s | testclient
2025-07-23 19:11:13 | testclient | GET /api/files/QmTestCID123456789/info | 200 | 0.002s | testclient
2025-07-23 19:11:13 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.003s | testclient
2025-07-23 19:11:13 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:11:13 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:11:13 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 19:11:14 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:11:14 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.014s | testclient
2025-07-23 19:11:14 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.014s | testclient
2025-07-23 19:11:14 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:11:14 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:11:14 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:11:15 | testclient | POST /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:11:15 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:11:15 | testclient | DELETE /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:11:15 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:11:15 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:11:15 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:11:16 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:11:16 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:11:16 | testclient | POST /api/files/search | 422 | 0.000s | testclient
2025-07-23 19:11:16 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:11:16 | testclient | POST /api/files/upload | 200 | 0.015s | testclient
2025-07-23 19:11:16 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:11:16 | testclient | GET /api/files/QmTestd5c47cda3469c0865deb/info | 200 | 0.002s | testclient
2025-07-23 19:11:16 | testclient | PUT /api/files/QmTestd5c47cda3469c0865deb/metadata | 404 | 0.000s | testclient
2025-07-23 19:11:53 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:12:00 | testclient | POST /api/files/upload | 200 | 0.019s | testclient
2025-07-23 19:12:00 | testclient | POST /api/files/upload | 200 | 0.016s | testclient
2025-07-23 19:12:00 | testclient | POST /api/files/upload | 500 | 0.002s | testclient
2025-07-23 19:12:01 | testclient | POST /api/files/upload | 500 | 0.559s | testclient
2025-07-23 19:12:01 | testclient | POST /api/files/upload | 422 | 0.002s | testclient
2025-07-23 19:12:01 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.002s | testclient
2025-07-23 19:12:01 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:12:01 | testclient | GET /api/files/QmTestCID123456789 | 500 | 0.002s | testclient
2025-07-23 19:12:02 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:12:02 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:12:02 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:12:02 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 19:12:02 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:12:02 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:12:03 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:12:03 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:12:03 | testclient | GET /api/files/QmTestCID123456789/info | 200 | 0.003s | testclient
2025-07-23 19:12:03 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.004s | testclient
2025-07-23 19:12:03 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:12:03 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:12:04 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 19:12:04 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:12:04 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.018s | testclient
2025-07-23 19:12:04 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.016s | testclient
2025-07-23 19:12:04 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:12:04 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:12:05 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:12:05 | testclient | POST /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:12:05 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:12:05 | testclient | DELETE /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:12:05 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:12:05 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:12:06 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:12:06 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:12:06 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:12:06 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:12:06 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:12:06 | testclient | POST /api/files/upload | 200 | 0.018s | testclient
2025-07-23 19:12:06 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:12:06 | testclient | GET /api/files/QmTestd04f0a99f1ee2b3a6fea/info | 200 | 0.002s | testclient
2025-07-23 19:12:06 | testclient | PUT /api/files/QmTestd04f0a99f1ee2b3a6fea/metadata | 404 | 0.000s | testclient
2025-07-23 19:12:29 | testclient | POST /api/files/search | 500 | 0.006s | testclient
2025-07-23 19:13:36 | testclient | POST /api/files/search | 200 | 0.005s | testclient
2025-07-23 19:13:47 | testclient | POST /api/files/upload | 200 | 0.017s | testclient
2025-07-23 19:13:45 | testclient | POST /api/files/upload | 200 | 0.019s | testclient
2025-07-23 19:13:45 | testclient | POST /api/files/upload | 500 | 0.002s | testclient
2025-07-23 19:13:46 | testclient | POST /api/files/upload | 500 | 0.534s | testclient
2025-07-23 19:13:46 | testclient | POST /api/files/upload | 422 | 0.002s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.003s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/QmTestCID123456789 | 500 | 0.002s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:13:47 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 19:13:48 | testclient | POST /api/files/search | 200 | 0.004s | testclient
2025-07-23 19:13:48 | testclient | POST /api/files/search | 200 | 0.004s | testclient
2025-07-23 19:13:48 | testclient | POST /api/files/search | 200 | 0.004s | testclient
2025-07-23 19:13:48 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:13:48 | testclient | GET /api/files/QmTestCID123456789/info | 200 | 0.002s | testclient
2025-07-23 19:13:48 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.003s | testclient
2025-07-23 19:13:49 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:13:49 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:13:49 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 19:13:49 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:13:49 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.014s | testclient
2025-07-23 19:13:50 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.015s | testclient
2025-07-23 19:13:50 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:13:50 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:13:50 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:13:50 | testclient | POST /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:13:50 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:13:51 | testclient | DELETE /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:13:51 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:13:51 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:13:51 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:13:51 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:13:51 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:13:51 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:13:52 | testclient | POST /api/files/search | 200 | 0.004s | testclient
2025-07-23 19:13:52 | testclient | POST /api/files/upload | 200 | 0.015s | testclient
2025-07-23 19:13:52 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:13:52 | testclient | GET /api/files/QmTest97f5f2d87634b4d47242/info | 200 | 0.002s | testclient
2025-07-23 19:13:52 | testclient | PUT /api/files/QmTest97f5f2d87634b4d47242/metadata | 404 | 0.000s | testclient
2025-07-23 19:14:26 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:15:03 | testclient | GET /api/files/QmTestCID123456789/stats | 200 | 0.001s | testclient
2025-07-23 19:15:10 | testclient | POST /api/files/upload | 200 | 0.017s | testclient
2025-07-23 19:15:10 | testclient | POST /api/files/upload | 200 | 0.016s | testclient
2025-07-23 19:15:11 | testclient | POST /api/files/upload | 500 | 0.002s | testclient
2025-07-23 19:15:11 | testclient | POST /api/files/upload | 500 | 0.527s | testclient
2025-07-23 19:15:11 | testclient | POST /api/files/upload | 422 | 0.001s | testclient
2025-07-23 19:15:12 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.002s | testclient
2025-07-23 19:15:12 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:15:12 | testclient | GET /api/files/QmTestCID123456789 | 500 | 0.002s | testclient
2025-07-23 19:15:12 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:15:12 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:15:12 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:15:13 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 19:15:13 | testclient | POST /api/files/search | 200 | 0.004s | testclient
2025-07-23 19:15:13 | testclient | POST /api/files/search | 200 | 0.004s | testclient
2025-07-23 19:15:13 | testclient | POST /api/files/search | 200 | 0.003s | testclient
2025-07-23 19:15:13 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:15:13 | testclient | GET /api/files/QmTestCID123456789/info | 200 | 0.002s | testclient
2025-07-23 19:15:14 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.002s | testclient
2025-07-23 19:15:14 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:15:14 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:15:14 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 19:15:14 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:15:14 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.017s | testclient
2025-07-23 19:15:15 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.018s | testclient
2025-07-23 19:15:15 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:15:15 | testclient | GET /api/files/QmTestCID123456789/stats | 200 | 0.001s | testclient
2025-07-23 19:15:15 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:15:15 | testclient | POST /api/files/QmTestCID123456789/pin | 200 | 0.003s | testclient
2025-07-23 19:15:15 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:15:16 | testclient | DELETE /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:15:16 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:15:16 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:15:16 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:15:16 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:15:16 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:15:17 | testclient | POST /api/files/search | 422 | 0.000s | testclient
2025-07-23 19:15:17 | testclient | POST /api/files/search | 200 | 0.005s | testclient
2025-07-23 19:15:17 | testclient | POST /api/files/upload | 200 | 0.014s | testclient
2025-07-23 19:15:17 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:15:17 | testclient | GET /api/files/QmTest3f20e15a451ade1b1b5d/info | 200 | 0.001s | testclient
